round,day,month,year,season,hometeam,goalsht,goalsvt,visitingteam
1,12,5,2007,2007,Figueirense,3,6,Athletico-PR
1,12,5,2007,2007,Fluminense,2,2,Cruzeiro
1,12,5,2007,2007,São Paulo,2,0,Goiás
1,13,5,2007,2007,Paraná,3,0,Grêmio
1,13,5,2007,2007,Flamengo,2,4,Palmeiras
1,13,5,2007,2007,Internacional,2,3,Botafogo
1,13,5,2007,2007,Atlético-MG,2,1,Náutico
1,13,5,2007,2007,América-RN,0,1,Vasco
1,13,5,2007,2007,Corinthians,1,0,Juventude
1,13,5,2007,2007,Sport,4,1,Santos
2,19,5,2007,2007,Santos,2,3,América-RN
2,19,5,2007,2007,Athletico-PR,2,1,Internacional
2,19,5,2007,2007,Juventude,1,2,Paraná
2,20,5,2007,2007,Goiás,1,3,Flamengo
2,20,5,2007,2007,Botafogo,2,1,Atlético-MG
2,20,5,2007,2007,Cruzeiro,0,3,Corinthians
2,20,5,2007,2007,Palmeiras,2,1,Figueirense
2,20,5,2007,2007,Grêmio,2,0,Fluminense
2,20,5,2007,2007,Náutico,1,0,São Paulo
2,20,5,2007,2007,Vasco,3,1,Sport
3,26,5,2007,2007,América-RN,0,1,Figueirense
3,26,5,2007,2007,Corinthians,0,0,Atlético-MG
3,26,5,2007,2007,Fluminense,3,0,Internacional
3,27,5,2007,2007,São Paulo,0,0,Palmeiras
3,27,5,2007,2007,Grêmio,1,0,Sport
3,27,5,2007,2007,Náutico,2,2,Vasco
3,27,5,2007,2007,Athletico-PR,0,1,Santos
3,27,5,2007,2007,Flamengo,2,2,Botafogo
3,27,5,2007,2007,Cruzeiro,3,4,Paraná
3,27,5,2007,2007,Goiás,3,1,Juventude
4,2,6,2007,2007,Atlético-MG,1,1,Athletico-PR
4,2,6,2007,2007,Botafogo,3,0,Grêmio
4,2,6,2007,2007,Figueirense,2,1,Goiás
4,3,6,2007,2007,Juventude,3,0,América-RN
4,3,6,2007,2007,Santos,1,1,Corinthians
4,3,6,2007,2007,Sport,2,2,Flamengo
4,3,6,2007,2007,Palmeiras,1,3,Cruzeiro
4,3,6,2007,2007,Vasco,1,1,Fluminense
4,3,6,2007,2007,Paraná,0,1,São Paulo
4,4,6,2007,2007,Internacional,2,0,Náutico
5,9,6,2007,2007,Vasco,4,0,Grêmio
5,9,6,2007,2007,Palmeiras,1,1,Botafogo
5,9,6,2007,2007,Náutico,4,4,Paraná
5,10,6,2007,2007,América-RN,1,2,Corinthians
5,10,6,2007,2007,Fluminense,3,0,Sport
5,10,6,2007,2007,Figueirense,4,0,Flamengo
5,10,6,2007,2007,Athletico-PR,0,3,Goiás
5,10,6,2007,2007,Internacional,1,0,Santos
5,10,6,2007,2007,São Paulo,0,1,Atlético-MG
5,10,6,2007,2007,Cruzeiro,2,3,Juventude
6,16,6,2007,2007,Grêmio,0,2,Cruzeiro
6,16,6,2007,2007,Corinthians,0,0,Paraná
6,16,6,2007,2007,Flamengo,2,2,Internacional
6,17,6,2007,2007,Goiás,3,1,Palmeiras
6,17,6,2007,2007,Atlético-MG,4,1,Figueirense
6,17,6,2007,2007,São Paulo,2,0,Vasco
6,17,6,2007,2007,Athletico-PR,1,1,Fluminense
6,17,6,2007,2007,Juventude,0,2,Santos
6,17,6,2007,2007,Botafogo,3,1,Náutico
6,17,6,2007,2007,Sport,2,2,América-RN
7,23,6,2007,2007,Juventude,1,1,Figueirense
7,23,6,2007,2007,Paraná,1,0,Sport
7,24,6,2007,2007,Palmeiras,0,2,Athletico-PR
7,24,6,2007,2007,América-RN,0,1,Fluminense
7,24,6,2007,2007,Santos,0,2,São Paulo
7,24,6,2007,2007,Cruzeiro,4,2,Atlético-MG
7,24,6,2007,2007,Náutico,0,2,Goiás
7,24,6,2007,2007,Internacional,0,2,Grêmio
7,15,8,2007,2007,Botafogo,2,3,Corinthians
7,18,10,2007,2007,Vasco,1,2,Flamengo
8,28,6,2007,2007,Sport,4,1,Náutico
8,28,6,2007,2007,Figueirense,0,0,São Paulo
8,30,6,2007,2007,Santos,0,0,Grêmio
8,30,6,2007,2007,Cruzeiro,3,1,Vasco
8,30,6,2007,2007,América-RN,0,3,Goiás
8,30,6,2007,2007,Corinthians,0,1,Palmeiras
8,30,6,2007,2007,Internacional,1,1,Atlético-MG
8,30,6,2007,2007,Paraná,2,2,Athletico-PR
8,30,6,2007,2007,Fluminense,1,2,Botafogo
8,23,8,2007,2007,Flamengo,4,0,Juventude
9,3,7,2007,2007,Palmeiras,2,0,América-RN
9,3,7,2007,2007,São Paulo,1,0,Internacional
9,3,7,2007,2007,Fluminense,0,0,Paraná
9,3,7,2007,2007,Grêmio,3,1,Juventude
9,3,7,2007,2007,Athletico-PR,1,1,Náutico
9,3,7,2007,2007,Figueirense,2,1,Cruzeiro
9,3,7,2007,2007,Goiás,1,1,Botafogo
9,4,7,2007,2007,Vasco,4,0,Santos
9,4,7,2007,2007,Atlético-MG,1,1,Flamengo
9,4,7,2007,2007,Sport,2,1,Corinthians
10,6,7,2007,2007,Paraná,0,1,América-RN
10,7,7,2007,2007,Atlético-MG,0,1,Grêmio
10,7,7,2007,2007,Santos,4,1,Cruzeiro
10,7,7,2007,2007,Corinthians,1,1,Fluminense
10,7,7,2007,2007,Náutico,0,1,Palmeiras
10,7,7,2007,2007,Juventude,2,0,Vasco
10,7,7,2007,2007,Internacional,2,1,Figueirense
10,7,7,2007,2007,Goiás,3,2,Sport
10,7,7,2007,2007,São Paulo,0,0,Flamengo
10,7,7,2007,2007,Botafogo,2,0,Athletico-PR
11,12,7,2007,2007,Paraná,1,2,Figueirense
11,12,7,2007,2007,Juventude,1,1,Náutico
11,12,7,2007,2007,Vasco,1,0,Athletico-PR
11,14,7,2007,2007,Grêmio,1,1,Palmeiras
11,14,7,2007,2007,Santos,3,0,Botafogo
11,14,7,2007,2007,Sport,2,0,Atlético-MG
11,14,7,2007,2007,América-RN,1,2,Internacional
11,14,7,2007,2007,Cruzeiro,2,1,Goiás
11,14,7,2007,2007,Corinthians,1,1,São Paulo
11,16,8,2007,2007,Fluminense,0,1,Flamengo
12,14,6,2007,2007,Botafogo,4,0,Vasco
12,18,7,2007,2007,Figueirense,0,1,Sport
12,18,7,2007,2007,Athletico-PR,4,0,Juventude
12,18,7,2007,2007,Atlético-MG,4,1,América-RN
12,18,7,2007,2007,Internacional,3,0,Corinthians
12,18,7,2007,2007,São Paulo,0,1,Fluminense
12,18,7,2007,2007,Náutico,1,4,Cruzeiro
12,19,7,2007,2007,Palmeiras,2,2,Santos
12,19,7,2007,2007,Goiás,0,0,Grêmio
12,19,7,2007,2007,Flamengo,1,2,Paraná
13,21,7,2007,2007,Vasco,4,0,Atlético-MG
13,21,7,2007,2007,Juventude,2,0,Internacional
13,21,7,2007,2007,América-RN,2,1,Athletico-PR
13,22,7,2007,2007,Corinthians,0,3,Náutico
13,22,7,2007,2007,Cruzeiro,1,2,São Paulo
13,22,7,2007,2007,Grêmio,1,0,Flamengo
13,22,7,2007,2007,Fluminense,3,0,Goiás
13,22,7,2007,2007,Sport,3,3,Botafogo
13,22,7,2007,2007,Paraná,1,0,Palmeiras
13,22,7,2007,2007,Santos,3,1,Figueirense
14,25,7,2007,2007,Athletico-PR,2,2,Cruzeiro
14,25,7,2007,2007,Goiás,1,0,Santos
14,25,7,2007,2007,Flamengo,3,1,América-RN
14,25,7,2007,2007,Náutico,0,2,Grêmio
14,25,7,2007,2007,Palmeiras,3,2,Vasco
14,25,7,2007,2007,Figueirense,2,2,Corinthians
14,25,7,2007,2007,Internacional,1,0,Paraná
14,26,7,2007,2007,Botafogo,3,1,Juventude
14,26,7,2007,2007,São Paulo,3,1,Sport
14,26,7,2007,2007,Atlético-MG,3,0,Fluminense
15,28,7,2007,2007,Santos,1,2,Náutico
15,28,7,2007,2007,Grêmio,1,1,Athletico-PR
15,28,7,2007,2007,Vasco,4,1,Goiás
15,29,7,2007,2007,Paraná,1,3,Atlético-MG
15,29,7,2007,2007,Juventude,1,1,Palmeiras
15,29,7,2007,2007,Sport,1,5,Internacional
15,29,7,2007,2007,Corinthians,2,2,Flamengo
15,29,7,2007,2007,Fluminense,1,1,Figueirense
15,29,7,2007,2007,América-RN,0,1,São Paulo
15,29,7,2007,2007,Cruzeiro,3,2,Botafogo
16,1,8,2007,2007,Náutico,0,0,Fluminense
16,1,8,2007,2007,Goiás,2,0,Paraná
16,1,8,2007,2007,Palmeiras,1,2,Sport
16,1,8,2007,2007,Botafogo,4,2,América-RN
16,1,8,2007,2007,Athletico-PR,2,2,Corinthians
16,1,8,2007,2007,Atlético-MG,1,2,Santos
16,1,8,2007,2007,Internacional,0,2,Vasco
16,2,8,2007,2007,São Paulo,3,1,Juventude
16,2,8,2007,2007,Figueirense,1,0,Grêmio
16,12,9,2007,2007,Flamengo,3,1,Cruzeiro
17,4,8,2007,2007,Corinthians,1,0,Goiás
17,4,8,2007,2007,América-RN,1,5,Náutico
17,4,8,2007,2007,Sport,3,2,Athletico-PR
17,5,8,2007,2007,Juventude,1,2,Atlético-MG
17,5,8,2007,2007,Santos,3,0,Flamengo
17,5,8,2007,2007,Cruzeiro,3,2,Internacional
17,5,8,2007,2007,Fluminense,0,1,Palmeiras
17,5,8,2007,2007,Vasco,2,2,Figueirense
17,5,8,2007,2007,Paraná,0,0,Botafogo
17,5,8,2007,2007,Grêmio,0,2,São Paulo
18,8,8,2007,2007,Juventude,0,0,Fluminense
18,8,8,2007,2007,Cruzeiro,2,0,Sport
18,8,8,2007,2007,Náutico,4,2,Figueirense
18,8,8,2007,2007,Botafogo,0,2,São Paulo
18,8,8,2007,2007,Athletico-PR,2,0,Flamengo
18,8,8,2007,2007,Goiás,3,2,Atlético-MG
18,9,8,2007,2007,Santos,2,0,Paraná
18,9,8,2007,2007,Palmeiras,1,1,Internacional
18,9,8,2007,2007,Grêmio,3,0,América-RN
18,9,8,2007,2007,Vasco,2,0,Corinthians
19,11,8,2007,2007,Sport,3,0,Juventude
19,11,8,2007,2007,São Paulo,2,0,Athletico-PR
19,11,8,2007,2007,Flamengo,2,1,Náutico
19,12,8,2007,2007,Internacional,1,0,Goiás
19,12,8,2007,2007,Figueirense,1,1,Botafogo
19,12,8,2007,2007,Atlético-MG,1,2,Palmeiras
19,12,8,2007,2007,Corinthians,2,1,Grêmio
19,12,8,2007,2007,América-RN,1,2,Cruzeiro
19,12,8,2007,2007,Paraná,0,0,Vasco
19,12,8,2007,2007,Fluminense,3,0,Santos
20,18,8,2007,2007,Grêmio,2,0,Paraná
20,18,8,2007,2007,Athletico-PR,1,1,Figueirense
20,18,8,2007,2007,Santos,2,0,Sport
20,19,8,2007,2007,Juventude,2,2,Corinthians
20,19,8,2007,2007,Vasco,2,0,América-RN
20,19,8,2007,2007,Náutico,0,1,Atlético-MG
20,19,8,2007,2007,Palmeiras,2,1,Flamengo
20,19,8,2007,2007,Cruzeiro,4,2,Fluminense
20,19,8,2007,2007,Botafogo,1,1,Internacional
20,19,8,2007,2007,Goiás,0,0,São Paulo
21,25,8,2007,2007,Internacional,1,0,Athletico-PR
21,25,8,2007,2007,Fluminense,1,1,Grêmio
21,25,8,2007,2007,Corinthians,0,3,Cruzeiro
21,26,8,2007,2007,Paraná,3,1,Juventude
21,26,8,2007,2007,Atlético-MG,1,2,Botafogo
21,26,8,2007,2007,São Paulo,5,0,Náutico
21,26,8,2007,2007,Figueirense,1,2,Palmeiras
21,26,8,2007,2007,América-RN,1,4,Santos
21,26,8,2007,2007,Sport,0,0,Vasco
21,26,8,2007,2007,Flamengo,3,1,Goiás
22,29,8,2007,2007,Paraná,2,2,Cruzeiro
22,29,8,2007,2007,Juventude,2,0,Goiás
22,29,8,2007,2007,Figueirense,3,1,América-RN
22,29,8,2007,2007,Botafogo,1,1,Flamengo
22,29,8,2007,2007,Palmeiras,0,1,São Paulo
22,29,8,2007,2007,Sport,2,0,Grêmio
22,29,8,2007,2007,Atlético-MG,5,2,Corinthians
22,29,8,2007,2007,Internacional,1,4,Fluminense
22,30,8,2007,2007,Santos,3,1,Athletico-PR
22,30,8,2007,2007,Vasco,4,1,Náutico
23,1,9,2007,2007,São Paulo,6,0,Paraná
23,1,9,2007,2007,Flamengo,1,1,Sport
23,1,9,2007,2007,América-RN,0,3,Juventude
23,2,9,2007,2007,Cruzeiro,5,0,Palmeiras
23,2,9,2007,2007,Grêmio,3,0,Botafogo
23,2,9,2007,2007,Athletico-PR,1,0,Atlético-MG
23,2,9,2007,2007,Corinthians,2,0,Santos
23,2,9,2007,2007,Náutico,1,1,Internacional
23,2,9,2007,2007,Fluminense,1,1,Vasco
23,2,9,2007,2007,Goiás,2,1,Figueirense
24,5,9,2007,2007,Corinthians,1,0,América-RN
24,5,9,2007,2007,Goiás,2,3,Athletico-PR
24,5,9,2007,2007,Flamengo,4,1,Figueirense
24,5,9,2007,2007,Juventude,1,0,Cruzeiro
24,5,9,2007,2007,Atlético-MG,0,0,São Paulo
24,5,9,2007,2007,Santos,2,1,Internacional
24,5,9,2007,2007,Grêmio,3,1,Vasco
24,6,9,2007,2007,Paraná,2,4,Náutico
24,6,9,2007,2007,Botafogo,1,1,Palmeiras
24,6,9,2007,2007,Sport,0,2,Fluminense
25,8,9,2007,2007,Internacional,3,0,Flamengo
25,8,9,2007,2007,Vasco,0,2,São Paulo
25,8,9,2007,2007,Figueirense,2,1,Atlético-MG
25,8,9,2007,2007,Santos,1,0,Juventude
25,8,9,2007,2007,Cruzeiro,2,0,Grêmio
25,9,9,2007,2007,Palmeiras,2,0,Goiás
25,9,9,2007,2007,Paraná,1,0,Corinthians
25,9,9,2007,2007,América-RN,1,1,Sport
25,9,9,2007,2007,Fluminense,2,0,Athletico-PR
25,9,9,2007,2007,Náutico,4,1,Botafogo
26,15,9,2007,2007,São Paulo,2,1,Santos
26,15,9,2007,2007,Goiás,0,3,Náutico
26,15,9,2007,2007,Fluminense,2,0,América-RN
26,16,9,2007,2007,Corinthians,0,1,Botafogo
26,16,9,2007,2007,Athletico-PR,2,1,Palmeiras
26,16,9,2007,2007,Sport,3,1,Paraná
26,16,9,2007,2007,Atlético-MG,3,4,Cruzeiro
26,16,9,2007,2007,Figueirense,4,1,Juventude
26,16,9,2007,2007,Grêmio,1,0,Internacional
26,16,9,2007,2007,Flamengo,1,1,Vasco
27,22,9,2007,2007,São Paulo,2,0,Figueirense
27,22,9,2007,2007,Grêmio,1,0,Santos
27,22,9,2007,2007,Goiás,1,1,América-RN
27,23,9,2007,2007,Náutico,2,0,Sport
27,23,9,2007,2007,Atlético-MG,2,2,Internacional
27,23,9,2007,2007,Juventude,2,2,Flamengo
27,23,9,2007,2007,Palmeiras,1,0,Corinthians
27,23,9,2007,2007,Athletico-PR,2,1,Paraná
27,23,9,2007,2007,Botafogo,0,2,Fluminense
27,23,9,2007,2007,Vasco,0,2,Cruzeiro
28,29,9,2007,2007,Corinthians,1,2,Sport
28,29,9,2007,2007,Flamengo,1,0,Atlético-MG
28,29,9,2007,2007,Náutico,5,0,Athletico-PR
28,30,9,2007,2007,Internacional,1,2,São Paulo
28,30,9,2007,2007,Botafogo,0,3,Goiás
28,30,9,2007,2007,Santos,1,0,Vasco
28,30,9,2007,2007,Juventude,1,2,Grêmio
28,30,9,2007,2007,Cruzeiro,1,2,Figueirense
28,30,9,2007,2007,América-RN,0,0,Palmeiras
28,30,9,2007,2007,Paraná,3,1,Fluminense
29,3,10,2007,2007,Palmeiras,2,1,Náutico
29,3,10,2007,2007,Sport,4,0,Goiás
29,3,10,2007,2007,Vasco,0,1,Juventude
29,3,10,2007,2007,Grêmio,2,2,Atlético-MG
29,3,10,2007,2007,Fluminense,1,1,Corinthians
29,3,10,2007,2007,Athletico-PR,2,0,Botafogo
29,3,10,2007,2007,Cruzeiro,0,1,Santos
29,4,10,2007,2007,América-RN,3,2,Paraná
29,4,10,2007,2007,Flamengo,1,0,São Paulo
29,4,10,2007,2007,Figueirense,0,0,Internacional
30,6,10,2007,2007,Palmeiras,2,0,Grêmio
30,6,10,2007,2007,Botafogo,1,2,Santos
30,6,10,2007,2007,Náutico,4,1,Juventude
30,7,10,2007,2007,Athletico-PR,1,0,Vasco
30,7,10,2007,2007,Atlético-MG,3,1,Sport
30,7,10,2007,2007,São Paulo,0,1,Corinthians
30,7,10,2007,2007,Internacional,2,0,América-RN
30,7,10,2007,2007,Figueirense,4,0,Paraná
30,7,10,2007,2007,Goiás,0,0,Cruzeiro
30,7,10,2007,2007,Flamengo,0,2,Fluminense
31,12,10,2007,2007,Juventude,0,0,Athletico-PR
31,12,10,2007,2007,Cruzeiro,2,2,Náutico
31,12,10,2007,2007,Sport,0,0,Figueirense
31,13,10,2007,2007,Fluminense,1,1,São Paulo
31,13,10,2007,2007,Paraná,0,1,Flamengo
31,13,10,2007,2007,Corinthians,1,1,Internacional
31,13,10,2007,2007,Santos,1,1,Palmeiras
31,13,10,2007,2007,América-RN,0,1,Atlético-MG
31,13,10,2007,2007,Grêmio,2,1,Goiás
31,14,10,2007,2007,Vasco,2,1,Botafogo
32,20,10,2007,2007,Palmeiras,3,0,Paraná
32,20,10,2007,2007,Goiás,5,3,Fluminense
32,20,10,2007,2007,Botafogo,3,1,Sport
32,21,10,2007,2007,Náutico,1,0,Corinthians
32,21,10,2007,2007,Atlético-MG,1,0,Vasco
32,21,10,2007,2007,São Paulo,1,0,Cruzeiro
32,21,10,2007,2007,Athletico-PR,2,0,América-RN
32,21,10,2007,2007,Flamengo,2,0,Grêmio
32,21,10,2007,2007,Internacional,3,0,Juventude
32,21,10,2007,2007,Figueirense,1,0,Santos
33,27,10,2007,2007,Cruzeiro,1,1,Athletico-PR
33,27,10,2007,2007,Fluminense,1,1,Atlético-MG
33,27,10,2007,2007,Santos,3,0,Goiás
33,28,10,2007,2007,América-RN,0,1,Flamengo
33,28,10,2007,2007,Sport,1,2,São Paulo
33,28,10,2007,2007,Grêmio,4,3,Náutico
33,28,10,2007,2007,Corinthians,2,1,Figueirense
33,28,10,2007,2007,Juventude,1,1,Botafogo
33,28,10,2007,2007,Paraná,1,0,Internacional
33,28,10,2007,2007,Vasco,2,2,Palmeiras
34,31,10,2007,2007,Figueirense,0,2,Fluminense
34,31,10,2007,2007,Athletico-PR,2,0,Grêmio
34,31,10,2007,2007,Atlético-MG,0,0,Paraná
34,31,10,2007,2007,Goiás,2,3,Vasco
34,31,10,2007,2007,Náutico,1,2,Santos
34,31,10,2007,2007,Flamengo,2,1,Corinthians
34,31,10,2007,2007,São Paulo,3,0,América-RN
34,1,11,2007,2007,Botafogo,4,1,Cruzeiro
34,1,11,2007,2007,Palmeiras,0,1,Juventude
34,1,11,2007,2007,Internacional,0,0,Sport
35,3,11,2007,2007,Paraná,1,0,Goiás
35,3,11,2007,2007,Fluminense,2,1,Náutico
35,3,11,2007,2007,Grêmio,1,2,Figueirense
35,4,11,2007,2007,Cruzeiro,3,1,Flamengo
35,4,11,2007,2007,Santos,2,2,Atlético-MG
35,4,11,2007,2007,Corinthians,2,2,Athletico-PR
35,4,11,2007,2007,América-RN,1,1,Botafogo
35,4,11,2007,2007,Sport,3,1,Palmeiras
35,4,11,2007,2007,Vasco,1,2,Internacional
35,7,11,2007,2007,Juventude,2,0,São Paulo
36,10,11,2007,2007,Internacional,1,0,Cruzeiro
36,10,11,2007,2007,Botafogo,3,2,Paraná
36,10,11,2007,2007,Náutico,4,0,América-RN
36,11,11,2007,2007,Athletico-PR,0,0,Sport
36,11,11,2007,2007,Goiás,1,1,Corinthians
36,11,11,2007,2007,Figueirense,3,3,Vasco
36,11,11,2007,2007,Flamengo,1,0,Santos
36,11,11,2007,2007,Atlético-MG,4,1,Juventude
36,11,11,2007,2007,São Paulo,1,0,Grêmio
36,14,11,2007,2007,Palmeiras,1,0,Fluminense
37,24,11,2007,2007,América-RN,0,3,Grêmio
37,24,11,2007,2007,Fluminense,3,2,Juventude
37,25,11,2007,2007,São Paulo,2,2,Botafogo
37,25,11,2007,2007,Internacional,2,1,Palmeiras
37,25,11,2007,2007,Paraná,2,3,Santos
37,25,11,2007,2007,Sport,1,0,Cruzeiro
37,25,11,2007,2007,Flamengo,2,0,Athletico-PR
37,28,11,2007,2007,Corinthians,0,1,Vasco
37,28,11,2007,2007,Figueirense,2,0,Náutico
37,28,11,2007,2007,Atlético-MG,4,1,Goiás
38,2,12,2007,2007,Palmeiras,1,3,Atlético-MG
38,2,12,2007,2007,Grêmio,1,1,Corinthians
38,2,12,2007,2007,Juventude,2,1,Sport
38,2,12,2007,2007,Santos,2,4,Fluminense
38,2,12,2007,2007,Cruzeiro,2,0,América-RN
38,2,12,2007,2007,Náutico,1,0,Flamengo
38,2,12,2007,2007,Botafogo,1,1,Figueirense
38,2,12,2007,2007,Goiás,2,1,Internacional
38,2,12,2007,2007,Athletico-PR,2,1,São Paulo
38,2,12,2007,2007,Vasco,3,0,Paraná
1,10,5,2008,2008,São Paulo,0,1,Grêmio
1,10,5,2008,2008,Vitória,0,2,Cruzeiro
1,10,5,2008,2008,Náutico,2,1,Goiás
1,11,5,2008,2008,Ipatinga,0,1,Athletico-PR
1,11,5,2008,2008,Coritiba,2,0,Palmeiras
1,11,5,2008,2008,Internacional,1,0,Vasco
1,11,5,2008,2008,Botafogo,2,0,Sport
1,11,5,2008,2008,Atlético-MG,0,0,Fluminense
1,11,5,2008,2008,Flamengo,3,1,Santos
1,11,5,2008,2008,Portuguesa,5,5,Figueirense
2,17,5,2008,2008,Sport,0,0,Vitória
2,17,5,2008,2008,Vasco,3,1,Portuguesa
2,17,5,2008,2008,Cruzeiro,1,0,Botafogo
2,18,5,2008,2008,Grêmio,0,0,Flamengo
2,18,5,2008,2008,Athletico-PR,1,1,São Paulo
2,18,5,2008,2008,Fluminense,0,2,Náutico
2,18,5,2008,2008,Goiás,1,1,Atlético-MG
2,18,5,2008,2008,Figueirense,2,1,Coritiba
2,18,5,2008,2008,Palmeiras,2,1,Internacional
2,18,5,2008,2008,Santos,4,0,Ipatinga
3,24,5,2008,2008,Grêmio,2,0,Náutico
3,24,5,2008,2008,Flamengo,2,1,Internacional
3,24,5,2008,2008,Vitória,4,0,Figueirense
3,25,5,2008,2008,Goiás,1,1,Ipatinga
3,25,5,2008,2008,Sport,2,1,Fluminense
3,25,5,2008,2008,São Paulo,1,1,Coritiba
3,25,5,2008,2008,Cruzeiro,4,0,Santos
3,25,5,2008,2008,Portuguesa,1,1,Palmeiras
3,25,5,2008,2008,Athletico-PR,1,1,Atlético-MG
3,25,5,2008,2008,Botafogo,1,1,Vasco
4,31,5,2008,2008,Figueirense,0,0,Goiás
4,31,5,2008,2008,Internacional,1,1,Sport
4,31,5,2008,2008,Vasco,2,1,Grêmio
4,1,6,2008,2008,Ipatinga,2,0,Vitória
4,1,6,2008,2008,Coritiba,1,1,Cruzeiro
4,1,6,2008,2008,Santos,0,0,São Paulo
4,1,6,2008,2008,Náutico,3,0,Botafogo
4,1,6,2008,2008,Palmeiras,1,0,Athletico-PR
4,1,6,2008,2008,Atlético-MG,2,0,Portuguesa
4,1,6,2008,2008,Fluminense,0,1,Flamengo
5,7,6,2008,2008,Ipatinga,0,0,Náutico
5,7,6,2008,2008,Flamengo,5,0,Figueirense
5,7,6,2008,2008,São Paulo,5,1,Atlético-MG
5,8,6,2008,2008,Athletico-PR,5,0,Goiás
5,8,6,2008,2008,Grêmio,2,1,Fluminense
5,8,6,2008,2008,Sport,2,0,Palmeiras
5,8,6,2008,2008,Portuguesa,3,1,Internacional
5,8,6,2008,2008,Botafogo,2,1,Coritiba
5,8,6,2008,2008,Cruzeiro,1,0,Vasco
5,8,6,2008,2008,Vitória,1,0,Santos
6,12,6,2008,2008,Fluminense,1,1,Santos
6,12,6,2008,2008,Palmeiras,5,2,Cruzeiro
6,12,6,2008,2008,Atlético-MG,4,2,Ipatinga
6,14,6,2008,2008,Figueirense,3,1,Sport
6,14,6,2008,2008,Internacional,2,1,Botafogo
6,14,6,2008,2008,Flamengo,2,4,São Paulo
6,14,6,2008,2008,Náutico,1,1,Vasco
6,14,6,2008,2008,Goiás,0,3,Grêmio
6,14,6,2008,2008,Coritiba,0,0,Vitória
6,14,6,2008,2008,Portuguesa,1,0,Athletico-PR
7,21,6,2008,2008,Cruzeiro,3,0,Figueirense
7,21,6,2008,2008,São Paulo,1,0,Sport
7,21,6,2008,2008,Botafogo,0,1,Portuguesa
7,21,6,2008,2008,Coritiba,2,1,Fluminense
7,22,6,2008,2008,Ipatinga,1,3,Flamengo
7,22,6,2008,2008,Vitória,2,1,Internacional
7,22,6,2008,2008,Vasco,0,2,Palmeiras
7,22,6,2008,2008,Grêmio,3,0,Athletico-PR
7,22,6,2008,2008,Náutico,2,1,Atlético-MG
7,22,6,2008,2008,Santos,0,4,Goiás
8,28,6,2008,2008,Vasco,4,2,Ipatinga
8,28,6,2008,2008,Portuguesa,0,0,Santos
8,28,6,2008,2008,Vitória,3,0,Goiás
8,29,6,2008,2008,Athletico-PR,1,1,Coritiba
8,29,6,2008,2008,Cruzeiro,1,1,São Paulo
8,29,6,2008,2008,Sport,1,2,Flamengo
8,29,6,2008,2008,Figueirense,1,1,Atlético-MG
8,29,6,2008,2008,Palmeiras,2,0,Náutico
8,29,6,2008,2008,Fluminense,0,0,Botafogo
8,29,6,2008,2008,Grêmio,1,1,Internacional
9,5,7,2008,2008,Sport,1,0,Cruzeiro
9,5,7,2008,2008,Flamengo,3,0,Náutico
9,5,7,2008,2008,Athletico-PR,1,0,Santos
9,6,7,2008,2008,Internacional,3,0,Coritiba
9,6,7,2008,2008,Portuguesa,1,2,Vitória
9,6,7,2008,2008,Atlético-MG,1,1,Palmeiras
9,6,7,2008,2008,Figueirense,2,1,Vasco
9,6,7,2008,2008,São Paulo,1,1,Ipatinga
9,6,7,2008,2008,Goiás,1,0,Fluminense
9,6,7,2008,2008,Botafogo,2,0,Grêmio
10,9,7,2008,2008,Coritiba,4,0,Portuguesa
10,9,7,2008,2008,Internacional,1,0,Goiás
10,9,7,2008,2008,Fluminense,3,0,Athletico-PR
10,9,7,2008,2008,Vitória,5,2,Botafogo
10,9,7,2008,2008,Santos,1,1,Grêmio
10,9,7,2008,2008,Náutico,2,1,São Paulo
10,9,7,2008,2008,Atlético-MG,1,1,Flamengo
10,10,7,2008,2008,Ipatinga,2,2,Cruzeiro
10,10,7,2008,2008,Palmeiras,1,1,Figueirense
10,10,7,2008,2008,Vasco,4,0,Sport
11,12,7,2008,2008,Fluminense,2,1,Vitória
11,12,7,2008,2008,Goiás,2,2,Coritiba
11,13,7,2008,2008,Ipatinga,0,1,Figueirense
11,13,7,2008,2008,Cruzeiro,2,1,Atlético-MG
11,13,7,2008,2008,Santos,2,2,Botafogo
11,13,7,2008,2008,Athletico-PR,1,1,Internacional
11,13,7,2008,2008,São Paulo,2,1,Palmeiras
11,13,7,2008,2008,Grêmio,2,1,Portuguesa
11,13,7,2008,2008,Flamengo,3,1,Vasco
11,13,7,2008,2008,Náutico,0,2,Sport
12,16,7,2008,2008,Sport,2,2,Grêmio
12,16,7,2008,2008,Botafogo,4,0,Ipatinga
12,16,7,2008,2008,Figueirense,3,0,Santos
12,16,7,2008,2008,Portuguesa,3,2,Náutico
12,16,7,2008,2008,Cruzeiro,1,0,Athletico-PR
12,16,7,2008,2008,Palmeiras,3,1,Fluminense
12,16,7,2008,2008,Vitória,1,3,São Paulo
12,17,7,2008,2008,Vasco,1,1,Goiás
12,17,7,2008,2008,Coritiba,1,0,Flamengo
12,17,7,2008,2008,Internacional,1,0,Atlético-MG
13,19,7,2008,2008,Ipatinga,4,1,Portuguesa
13,19,7,2008,2008,Fluminense,1,0,Figueirense
13,19,7,2008,2008,Grêmio,1,0,Cruzeiro
13,20,7,2008,2008,Náutico,1,1,Internacional
